time,Th1,Tfh,Tr1
1.05,155.0,382.0,203.0
1.1,154.0,381.0,204.0
1.15,151.0,374.0,203.0
1.2,154.0,367.0,198.0
1.25,158.0,363.0,196.0
1.3,152.0,363.0,199.0
1.35,148.0,355.0,198.0
1.4,148.0,352.0,188.0
1.45,147.0,350.0,186.0
1.5,144.0,339.0,176.0
1.55,139.0,335.0,168.0
1.6,133.0,333.0,175.0
1.65,136.0,330.0,171.0
1.7,136.0,330.0,172.0
1.75,136.0,328.0,168.0
1.8,129.0,310.0,163.0
1.85,126.0,298.0,167.0
1.9,124.0,298.0,165.0
1.95,122.0,294.0,158.0
2.0,118.0,298.0,149.0
2.05,116.0,292.0,146.0
2.1,111.0,287.0,139.0
2.15,109.0,287.0,139.0
2.2,105.0,284.0,137.0
2.25,99.0,276.0,131.0
2.3,97.0,272.0,126.0
2.35,96.0,269.0,120.0
2.4,92.0,251.0,117.0
2.45,90.0,246.0,111.0
2.5,87.0,240.0,107.0
2.55,85.0,230.0,106.0
2.6,79.0,217.0,103.0
2.65,79.0,209.0,100.0
2.7,74.0,208.0,99.0
2.75,70.0,204.0,97.0
2.8,69.0,196.0,93.0
2.85,62.0,193.0,86.0
2.9,57.0,187.0,86.0
2.95,58.0,179.0,81.0
3.0,55.0,172.0,76.0
3.05,54.0,166.0,74.0
3.1,49.0,157.0,70.0
3.15,47.0,150.0,70.0
3.2,46.0,145.0,68.0
3.25,45.0,138.0,63.0
3.3,43.0,133.0,62.0
3.35,41.0,129.0,56.0
3.4,41.0,121.0,56.0
3.45,37.0,116.0,55.0
3.5,36.0,110.0,53.0
3.55,36.0,104.0,53.0
3.6,36.0,101.0,48.0
3.65,33.0,96.0,44.0
3.7,31.0,94.0,41.0
3.75,30.0,91.0,38.0
3.8,26.0,82.0,38.0
3.85,24.0,77.0,38.0
3.9,22.0,74.0,38.0
3.95,19.0,72.0,38.0
4.0,19.0,71.0,39.0
4.05,19.0,69.0,36.0
4.1,17.0,67.0,35.0
4.15,17.0,67.0,33.0
4.2,15.0,65.0,32.0
4.25,15.0,62.0,33.0
4.3,15.0,59.0,33.0
4.35,15.0,56.0,32.0
4.4,15.0,55.0,32.0
4.45,15.0,53.0,32.0
4.5,13.0,51.0,30.0
4.55,13.0,50.0,30.0
4.6,13.0,49.0,29.0
4.65,14.0,49.0,29.0
4.7,15.0,50.0,29.0
4.75,15.0,49.0,29.0
4.8,14.0,50.0,26.0
4.85,14.0,46.0,25.0
4.9,14.0,46.0,24.0
4.95,13.0,44.0,23.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,25.0,56.0,30.0
0.1,44.0,92.0,64.0
0.15,65.0,128.0,88.0
0.2,84.0,166.0,113.0
0.25,91.0,201.0,126.0
0.3,98.0,236.0,142.0
0.35,109.0,268.0,153.0
0.4,121.0,301.0,158.0
0.45,131.0,322.0,167.0
0.5,139.0,347.0,180.0
0.55,156.0,354.0,198.0
0.6,162.0,365.0,202.0
0.65,158.0,378.0,214.0
0.7,156.0,393.0,210.0
0.75,154.0,403.0,213.0
0.8,155.0,412.0,211.0
0.85,156.0,404.0,215.0
0.9,162.0,410.0,210.0
0.95,162.0,402.0,208.0
1.0,161.0,388.0,204.0
1.05,154.0,382.0,199.0
1.1,158.0,382.0,196.0
1.15,158.0,379.0,196.0
1.2,162.0,366.0,199.0
1.25,158.0,358.0,197.0
1.3,153.0,356.0,200.0
1.35,147.0,344.0,187.0
1.4,144.0,341.0,182.0
1.45,141.0,339.0,182.0
1.5,141.0,330.0,175.0
